Country,Vessel,Cruise,Log,Year,Month,Day,Hour,Min,AcLat,AcLon,Logint,Frequency,Sv_threshold,Process_ID,Interval
NL,PBVO,HERAS2015,306,2015,6,29,16,25,58.298,-2.569,1,38,-70,,306
NL,PBVO,HERAS2015,307,2015,6,29,16,31,58.298,-2.537,1,38,-70,,307
NL,PBVO,HERAS2015,308,2015,6,29,16,36,58.299,-2.506,1,38,-70,,308
NL,PBVO,HERAS2015,309,2015,6,29,16,41,58.299,-2.474,1,38,-70,,309
NL,PBVO,HERAS2015,310,2015,6,29,16,47,58.299,-2.442,1,38,-70,,310
NL,PBVO,HERAS2015,311,2015,6,29,16,52,58.299,-2.411,1,38,-70,,311
NL,PBVO,HERAS2015,312,2015,6,29,16,58,58.299,-2.379,1,38,-70,,312
NL,PBVO,HERAS2015,313,2015,6,29,17,3,58.298,-2.347,1,38,-70,,313
NL,PBVO,HERAS2015,314,2015,6,29,17,8,58.298,-2.316,1,38,-70,,314
NL,PBVO,HERAS2015,315,2015,6,29,17,14,58.298,-2.284,1,38,-70,,315
NL,PBVO,HERAS2015,316,2015,6,29,17,19,58.298,-2.252,1,38,-70,,316
NL,PBVO,HERAS2015,317,2015,6,29,17,25,58.298,-2.221,1,38,-70,,317
NL,PBVO,HERAS2015,318,2015,6,29,17,30,58.297,-2.189,1,38,-70,,318
NL,PBVO,HERAS2015,319,2015,6,29,17,36,58.297,-2.157,1,38,-70,,319
NL,PBVO,HERAS2015,320,2015,6,29,17,41,58.298,-2.126,1,38,-70,,320
NL,PBVO,HERAS2015,321,2015,6,29,17,47,58.296,-2.094,1,38,-70,,321
NL,PBVO,HERAS2015,322,2015,6,29,17,52,58.295,-2.062,1,38,-70,,322
NL,PBVO,HERAS2015,323,2015,6,29,17,58,58.294,-2.031,1,38,-70,,323
NL,PBVO,HERAS2015,324,2015,6,29,18,3,58.29,-2,1,38,-70,,324
NL,PBVO,HERAS2015,325,2015,6,29,18,9,58.285,-1.97,1,38,-70,,325
NL,PBVO,HERAS2015,326,2015,6,29,18,14,58.28,-1.941,1,38,-70,,326
NL,PBVO,HERAS2015,327,2015,6,29,18,20,58.275,-1.91,1,38,-70,,327
NL,PBVO,HERAS2015,328,2015,6,29,18,25,58.27,-1.88,1,38,-70,,328
NL,PBVO,HERAS2015,329,2015,6,29,18,31,58.265,-1.849,1,38,-70,,329
NL,PBVO,HERAS2015,330,2015,6,29,18,36,58.263,-1.818,1,38,-70,,330
NL,PBVO,HERAS2015,331,2015,6,29,18,42,58.266,-1.787,1,38,-70,,331
NL,PBVO,HERAS2015,332,2015,6,29,18,47,58.266,-1.755,1,38,-70,,332
NL,PBVO,HERAS2015,333,2015,6,29,18,53,58.268,-1.724,1,38,-70,,333
