Country,Vessel,Cruise,Log,Year,Month,Day,Species,ChUppDepth,ChLowDepth,SA
NL,PBVO,HERAS2015,306,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,307,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,308,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,308,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,309,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,309,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,310,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,310,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,311,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,311,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,312,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,312,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,313,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,313,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,314,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,314,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,315,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,315,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,316,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,316,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,317,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,317,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,318,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,318,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,319,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,319,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,320,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,320,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,321,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,321,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,322,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,322,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,323,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,323,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,324,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,324,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,325,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,325,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,326,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,326,2015,6,29,HER,50,100,10.02
NL,PBVO,HERAS2015,327,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,327,2015,6,29,HER,50,100,12
NL,PBVO,HERAS2015,328,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,328,2015,6,29,HER,50,100,31.8
NL,PBVO,HERAS2015,329,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,329,2015,6,29,HER,50,100,68.95
NL,PBVO,HERAS2015,330,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,330,2015,6,29,HER,50,100,108.31
NL,PBVO,HERAS2015,331,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,331,2015,6,29,HER,50,100,60.32
NL,PBVO,HERAS2015,332,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,332,2015,6,29,HER,50,100,53.32
NL,PBVO,HERAS2015,333,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,333,2015,6,29,HER,50,100,29.61
NL,PBVO,HERAS2015,333,2015,6,29,HER,100,150,0.69
NL,PBVO,HERAS2015,334,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,334,2015,6,29,HER,50,100,24.44
NL,PBVO,HERAS2015,334,2015,6,29,HER,100,150,3.67
NL,PBVO,HERAS2015,335,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,335,2015,6,29,HER,50,100,12.09
NL,PBVO,HERAS2015,335,2015,6,29,HER,100,150,12.43
NL,PBVO,HERAS2015,336,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,336,2015,6,29,HER,50,100,6.11
NL,PBVO,HERAS2015,336,2015,6,29,HER,100,150,21.85
NL,PBVO,HERAS2015,337,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,337,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,337,2015,6,29,HER,100,150,13.1
NL,PBVO,HERAS2015,338,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,338,2015,6,29,HER,50,100,0.68
NL,PBVO,HERAS2015,338,2015,6,29,HER,100,150,0.79
NL,PBVO,HERAS2015,339,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,339,2015,6,29,HER,50,100,4.75
NL,PBVO,HERAS2015,339,2015,6,29,HER,100,150,0.8
