haul,fishno,weight,length,sex,mat,age
1,1,65,19.5,m,2,2013
1,2,66,20,f,2,2013
1,3,65,20,f,2,2013
1,4,60,20,m,2,2013
1,5,65,20,m,2,2013
1,6,61,20,m,2,2012
1,7,70,20.5,f,2,2012
1,8,71,20.5,m,2,2012
1,9,68,20.5,m,2,2013
1,10,69,20.5,m,2,2012
1,11,72,20.5,m,2,2012
1,12,72,21,f,2,2013
1,13,70,21,m,2,2013
1,14,76,21,m,2,2013
1,15,69,21,m,4,2012
1,16,75,21,f,2,2012
1,17,69,21.5,f,2,2012
1,18,77,21.5,f,2,2012
1,19,72,21.5,m,2,2013
1,20,79,21.5,m,2,2012
1,21,76,21.5,m,2,2013
1,22,80,22,f,2,2012
1,23,86,22,m,2,2012
1,24,85,22,f,2,2012
1,25,79,22,m,2,2012
1,26,84,22,m,2,2012
1,27,98,22.5,f,2,2012
1,28,94,22.5,f,2,2012
1,29,87,22.5,m,2,2012
1,30,89,22.5,m,2,2012
1,31,91,22.5,f,2,2012
1,32,92,23,m,2,2012
1,33,94,23,m,2,2012
1,34,92,23,m,2,2012
1,35,94,23,m,2,2012
1,36,98,23,m,2,2012
1,37,96,23.5,f,2,2012
1,38,100,23.5,f,2,2012
1,39,110,23.5,m,4,2012
1,40,95,23.5,m,4,2012
1,41,106,23.5,m,4,2012
1,42,115,24,m,4,2012
1,43,119,24,m,4,2012
1,44,101,24,m,4,2012
1,45,109,24,m,4,2012
1,46,107,24,f,4,2012
1,47,129,24.5,m,4,2012
1,48,126,24.5,m,4,2012
1,49,120,24.5,f,4,2012
1,50,137,24.5,f,4,2012
1,51,115,24.5,m,4,2012
1,52,127,25,f,4,2012
1,53,140,25,m,4,2012
1,54,145,25,m,4,2012
1,55,121,25,m,4,2011
1,56,130,25,m,4,2012
1,57,135,25.5,f,4,2012
1,58,133,25.5,f,4,2012
1,59,135,25.5,m,4,2012
1,60,136,25.5,m,4,2012
1,61,147,25.5,f,4,2012
1,62,136,26,m,4,2011
1,63,157,26,m,4,2012
1,64,143,26,m,4,2012
1,65,150,26,m,4,2012
