haul,fishno,weight,length,sex,mat,age
4,1,9,10.5,f,4,2014
4,2,11,11,m,4,2014
4,3,9,11,m,4,
4,4,10,11,f,4,2014
4,5,10,11,m,4,2013
4,6,10,11,m,4,
4,7,11,11.5,m,4,2014
4,8,10,11.5,m,4,2013
4,9,12,11.5,m,4,2013
4,10,10,11.5,m,4,2014
4,11,10,11.5,f,4,2013
4,12,12,12,m,4,2012
4,13,14,12,f,4,2014
4,14,14,12,f,4,2013
4,15,12,12,m,4,
4,16,12,12,m,4,2013
4,17,14,12.5,f,4,2014
4,18,16,12.5,f,4,2012
4,19,13,12.5,m,4,2013
4,20,13,12.5,f,4,2013
4,21,16,12.5,f,4,2013
4,22,18,13,f,4,2013
4,23,16,13,f,4,
4,24,15,13,f,4,2013
4,25,16,13,f,4,2013
4,26,15,13,f,4,
4,27,18,13.5,m,4,2013
4,28,16,13,m,4,2013
4,29,16,13.5,m,4,
4,30,19,14,f,4,
4,31,19,14,m,4,
5,1,9,10.5,f,4,2014
5,2,8,10.5,m,4,2014
5,3,12,11,f,4,2014
5,4,10,11,f,4,2014
5,5,10,11,m,4,2014
5,6,10,11,f,2,2014
5,7,11,11,m,4,2014
5,8,15,12,f,4,2014
5,9,10,11,m,4,2014
5,10,13,11.5,m,4,2014
5,11,12,11.5,m,4,2014
5,12,13,11.5,f,4,2014
5,13,15,12,m,4,2014
5,14,15,12,f,4,
5,15,14,12,f,4,2014
5,16,13,11.5,f,4,
5,17,15,11.5,f,4,2013
5,18,13,12,f,4,2014
5,19,17,12.5,f,4,2012
5,20,16,12.5,f,4,2013
5,21,19,12.5,f,4,2013
5,22,14,12.5,f,4,2014
5,23,19,13,m,4,2012
5,24,17,13,m,4,2013
5,25,19,13,f,4,
5,26,19,13,f,4,2012
5,27,19,13,m,4,2012
5,28,19,13.5,f,4,2013
14,1,9,11,f,4,2014
14,2,9,11,f,4,2014
14,3,9,11,f,2,2014
14,4,10,11.5,m,4,2012
14,5,11,11.5,m,4,
14,6,9,11,m,4,2013
14,7,11,11.5,m,4,2013
14,8,10,11.5,m,4,2013
14,9,11,12,m,4,2013
14,10,11,12,m,4,2013
14,11,11,12,m,4,2013
14,12,10,11.5,m,4,2013
14,13,13,11.5,f,4,2013
14,14,13,11.5,f,4,2012
14,15,13,12.5,m,4,2012
14,16,13,12.5,m,4,2013
14,17,14,12.5,m,4,2013
14,18,14,12.5,f,4,2012
14,19,14,13,f,4,2012
14,20,17,13,f,4,2012
14,21,16,13,f,4,2013
14,22,16,13,m,4,2013
14,23,16,13,m,4,2013
14,24,18,13.5,f,4,2012
14,25,17,13.5,f,4,2012
14,26,18,13.5,f,4,2012
14,27,18,13.5,f,4,2012
14,28,16,13.5,f,4,2012
14,29,20,14,f,4,2012
14,30,20,14,f,4,2012
14,31,21,14.5,f,4,2012
14,32,22,14,f,4,2012
14,33,21,15,f,4,2011
15,1,9,11.5,m,4,2014
15,2,9,11,m,4,2014
15,3,11,11,f,4,2014
15,4,12,11.5,m,4,2014
15,5,12,11.5,m,4,2013
15,6,12,11.5,m,4,2012
15,7,10,11.5,m,4,2013
15,8,12,11.5,m,4,2013
15,9,13,12,m,4,2013
15,10,13,12,m,4,2013
15,11,13,12,m,4,2013
15,12,12,12,m,4,2013
15,13,13,12,m,4,2013
15,14,15,12.5,m,4,2012
15,15,16,12.5,f,4,2012
15,16,15,12.5,f,4,2012
15,17,14,12.5,f,4,2012
15,18,14,12.5,m,4,2012
15,19,17,13,f,4,2013
15,20,17,13,m,4,2012
15,21,14,13,m,4,2012
15,22,18,13,f,4,2013
15,23,16,13,f,4,2013
15,24,17,13.5,f,4,2013
15,25,18,13.5,f,4,2012
15,26,18,13.5,f,4,2012
15,27,16,13.5,m,4,2012
15,28,17,13.5,f,4,2012
15,29,21,14,m,4,2012
15,30,20,14,m,4,2011
15,31,19,14.5,f,4,2012
16,1,15,12,f,4,2013
16,2,14,12,m,4,2013
16,3,15,12,m,4,2013
16,4,14,12,m,4,2013
16,5,16,12,m,4,2013
16,6,16,12.5,f,4,2013
16,7,16,12.5,m,4,2012
16,8,18,12.5,m,4,2012
16,9,17,12.5,f,4,2012
16,10,17,12.5,m,4,2013
16,11,20,13,f,4,2012
16,12,16,13,f,4,2013
16,13,17,13,m,4,2012
16,14,18,13,f,4,2013
16,15,16,13,f,4,2012
16,16,20,13.5,f,4,2012
16,17,18,13.5,m,4,2012
16,18,21,13.5,f,4,2012
16,19,18,13.5,f,4,2011
16,20,19,13.5,f,4,2012
16,21,22,14,f,4,2012
16,22,21,14,f,4,2012
16,23,23,14,f,4,2013
16,24,25,14,f,4,2012
16,25,21,14,f,4,2012
16,26,24,14.5,f,4,2011
16,27,23,14.5,f,4,2012
16,28,26,15,f,4,2012
17,1,11,11.5,m,4,2013
17,2,14,12,m,4,2013
17,3,14,12,m,4,2012
17,4,13,12,m,4,2013
17,5,13,12,m,4,2013
17,6,13,12,f,4,2013
17,7,14,12.5,f,4,2013
17,8,14,12.5,f,4,2013
17,9,14,12.5,f,4,2012
17,10,14,12.5,f,4,2013
17,11,15,12.5,f,4,2013
17,12,17,13,m,4,2013
17,13,17,13,f,4,2013
17,14,16,13,f,4,2013
17,15,16,13,f,4,2013
17,16,20,13,f,4,2013
17,17,17,13.5,f,4,2013
17,18,21,13.5,f,4,2013
17,19,17,13.5,f,4,2012
17,20,18,13.5,f,4,2012
17,21,20,13.5,f,4,2012
17,22,21,14,f,4,2012
17,23,20,14,f,4,2012
18,1,12,12,m,2,2013
18,2,14,12,f,4,2013
18,3,12,12,m,4,2013
18,4,13,12,m,2,2013
18,5,13,12,f,4,2013
18,6,14,12.5,m,4,2013
18,7,15,12.5,f,4,2013
18,8,17,12.5,m,4,2013
18,9,16,12.5,f,4,2014
18,10,14,12.5,m,4,2013
18,11,17,13,f,4,2013
18,12,16,13,f,4,2012
18,13,16,13,f,4,2012
18,14,16,13,f,4,2013
18,15,18,13,f,4,2013
18,16,19,13.5,f,4,2012
18,17,18,13.5,f,4,2012
18,18,21,13.5,f,4,2012
18,19,17,13.5,f,4,2013
18,20,20,13.5,f,6,2012
18,21,20,14,f,4,2013
18,22,21,14,f,4,2012
18,23,20,14,f,4,2012
18,24,20,14,f,4,2011
18,25,22,14,m,4,2012
18,26,22,14.5,f,4,2012
18,27,20,14.5,f,4,2012
18,28,25,15,f,4,2012
19,1,12,11.5,m,2,2014
19,2,12,11.5,f,4,2014
19,3,10,11.5,m,4,2014
19,4,11,11.5,m,4,2013
19,5,12,11.5,f,4,
19,6,13,12,m,4,2013
19,7,13,12,m,4,2013
19,8,13,12,f,4,2013
19,9,13,12,m,4,2013
19,10,14,12,m,4,2013
19,11,15,12.5,m,4,2012
19,12,13,12.5,m,4,2012
19,13,13,12.5,f,4,2013
19,14,15,12.5,f,4,2012
19,15,14,12.5,f,4,2013
19,16,16,13,f,4,2012
19,17,16,13,f,4,2013
19,18,15,13,f,4,2013
19,19,15,13,f,4,2013
19,20,15,13,f,4,2011
19,21,17,13.5,f,4,2012
19,22,18,13.5,f,4,2013
19,23,18,13.5,f,4,2012
19,24,15,13.5,f,4,2012
19,25,16,13.5,f,4,2012
19,26,19,14,f,4,2012
