haul,day,month,year,hour,minute,haul_duration,lat,lon,depth,"wind
direction","wind
force",gear
1,30,6,2015,5,3,66,58.3,-0.383333333,120,158,2,pelagic trawl
2,30,6,2015,16,34,36,58.1,1.1,136,158,4,pelagic trawl
3,1,7,2015,5,21,104,58.08333333,-0.383333333,58.5,180,4,pelagic trawl
4,1,7,2015,9,8,40,58.1,-0.95,122,158,7,pelagic trawl
5,1,7,2015,16,34,76,58.08333333,-2.5,110,180,4,pelagic trawl
6,2,7,2015,15,1,133,57.81666667,0.083333333,107,113,4,pelagic trawl
7,3,7,2015,9,48,51,57.61666667,0.733333333,106,180,4,pelagic trawl
8,3,7,2015,16,17,58,57.58333333,-0.666666667,105,180,2,pelagic trawl
9,6,7,2015,11,31,89,57.2,-0.5,78.390625,180,2,pelagic trawl
10,6,7,2015,15,58,91,57.2,0.15,80.390625,158,4,pelagic trawl
11,7,7,2015,8,37,37,56.7,1.533333333,92.796875,180,7,pelagic trawl
12,7,7,2015,12,7,61,56.68333333,0.9,87.890625,203,7,pelagic trawl
13,10,7,2015,7,4,66,55.68333333,2.283333333,78.59375,338,2,pelagic trawl
14,11,7,2015,3,57,42,55.66666667,-0.966666667,70,45,1,pelagic trawl
15,13,7,2015,12,48,36,55.2,-0.7,67,203,4,pelagic trawl
16,13,7,2015,18,22,18,55.2,0.666666667,80.796875,225,2,pelagic trawl
17,14,7,2015,11,1,22,54.7,0.716666667,66,359,2,pelagic trawl
18,14,7,2015,16,34,76,54.7,-0.533333333,58.1953125,359,2,pelagic trawl
19,15,7,2015,4,5,29,54.2,0.366666667,54.59375,359,1,pelagic trawl
