haul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
14,,,,,,,,,,,,,,,,,,,,,,1
14.5,,,,,,,,,,,,,,,,,,,,,,2
15,,,,,,,,,,,,,,,,,,,,,,9
15.5,,,,,,,,,,,,,,,,,,,,,,10
16,,,,,,,,,,,,,,,,,,,,,,16
16.5,,,,,,,,,,,,,,,,,,,,,,23
17,,,,,,,,,,,,,,,,,,,,,,32
17.5,,,,,,,,,,,,,,,,,,,3,,,32
18,,,,,,,,,,,,,,,,,,,5,,,29
18.5,,,,,,,,,,,,,,,,,,,17,,,16
19,,,,,,,,,,,,,,,,2,,,24,1,,14
19.5,,,,,,,,,,,,,,,,,,,38,19,,16
20,,,,,,,,,,,,,,,,1,,,49,46,,14
20.5,,,,,,,,,,,,,,,,,,,33,35,,20
21,,,,,,,,,,,,,,,,9,,,11,36,,7
21.5,,,,,,,,,,,,,,,,2,,,7,9,,8
22,,,,,,,,,,,,,3,,,7,,,1,6,,5
22.5,,,,1,2,,1,,,,,1,6,,,4,,,1,,,1
23,,,,1,5,1,,,,,5,3,10,,,12,,,1,4,,
23.5,,1,,4,20,2,3,,,2,6,2,24,,,29,,,1,1,,
24,1,,1,22,32,13,9,,,1,20,12,41,,,36,,,,,,
24.5,1,,,37,37,21,10,,,,20,13,45,,,27,,,,1,,
25,2,2,10,45,46,24,17,,,39,39,26,39,,,30,,,,3,,1
25.5,6,5,8,34,25,34,15,,,20,39,18,21,,,24,,,,2,,2
26,7,4,16,36,18,42,14,,,21,37,23,21,,,16,,,,2,,1
26.5,9,8,14,22,14,20,20,,,9,10,18,9,,,11,,,1,2,,
27,10,13,17,14,6,19,18,,,6,17,19,10,,,5,,,,1,,
27.5,10,20,23,7,6,14,21,,,2,7,16,4,,,6,,,,,,
28,14,22,23,6,4,8,21,,,1,5,21,3,,,3,,,,3,,
28.5,34,27,23,,1,8,20,,,,2,12,1,,,6,,,,,,
29,29,19,16,1,1,1,11,,,,1,14,2,,,1,,,,,,
29.5,18,17,18,1,2,1,9,,,,1,4,,,,,,,,,,
30,15,10,6,,,,3,,,1,,2,,,,1,,,,,,
30.5,5,2,2,,,1,2,,,,,,,,,,,,,,,
31,,1,,,,1,,,,,,1,,,,,,,,,,
31.5,,4,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
32.5,1,,,,,,,,,,,,,,,,,,,,,
