haul,fishno,weight,length,sex,mat,age
1,1,117,24.5,f,4,2009
1,2,111,25,f,2,2009
1,3,112,25,m,4,2009
1,4,121,25,m,4,2010
1,5,132,25,f,4,2009
1,6,145,25.5,m,4,2010
1,7,134,25.5,m,4,2009
1,8,137,26,f,4,2010
1,9,125,26,f,4,2009
1,10,161,23,m,4,2010
1,11,147,26.5,f,4,2010
1,12,148,26,f,4,2010
1,13,169,26.5,m,4,2010
1,14,152,26,m,4,2009
1,15,147,26.5,m,4,2009
1,16,154,26.5,m,4,2009
1,17,153,26.5,f,4,2010
1,18,151,26.5,m,4,2009
1,19,148,26.5,f,4,2008
1,20,184,27,m,4,2009
1,21,155,27,f,4,2009
1,22,176,27.5,m,4,2009
1,23,159,27,f,4,2007
1,24,166,27,m,4,2007
1,25,170,27.5,f,4,2008
1,26,182,27.5,f,4,2007
1,27,185,27.5,m,4,2007
1,28,183,28,m,4,2009
1,29,179,27.5,f,4,2006
1,30,191,28,f,4,2009
1,31,183,28,f,4,2009
1,32,173,28,m,4,2006
1,33,182,28.5,m,4,2006
1,34,176,28.5,f,4,2007
1,35,179,29,m,4,2007
1,36,179,29,f,4,2006
1,37,169,28.5,m,4,2007
1,38,191,28.5,m,4,2007
1,39,191,29,m,4,2006
1,40,181,29,m,4,2007
1,41,210,29.5,f,4,2007
1,42,169,29,f,4,2004
1,43,213,29.5,f,4,2007
1,44,197,29.5,m,4,2006
1,45,197,29.5,f,4,2006
1,46,205,29.5,m,4,2007
1,47,192,29.5,m,4,2000
1,48,193,29.5,m,4,2002
1,49,193,30,f,4,2000
1,50,226,30,f,4,2005
1,51,210,30.5,m,4,2006
1,52,215,30,f,4,2005
1,53,245,30.5,m,4,2006
1,54,212,30,f,4,2005
1,55,267,30.5,m,4,2007
1,56,241,30.5,f,4,2004
1,57,209,30.5,f,4,2005
1,58,216,30.5,f,4,2007
1,59,231,30.5,f,4,2003
1,60,258,32.5,f,4,2004
2,1,104,24,m,4,2010
2,2,112,25,m,4,2010
2,3,123,25.5,f,4,2009
2,4,136,25.5,f,4,2009
2,5,133,26,m,4,2010
2,6,125,25.5,f,4,2009
2,7,137,25.5,m,4,2010
2,8,145,25.5,m,4,2009
2,9,151,26,f,4,2010
2,10,141,26,m,4,2009
2,11,159,26.5,m,4,2010
2,12,158,26.5,m,4,2009
2,13,159,26.5,f,4,2009
2,14,180,27,m,4,2009
2,15,171,27,f,4,2009
2,16,169,27,m,4,2009
2,17,172,26.5,f,4,2010
2,18,158,26.5,m,4,2010
2,19,145,27,m,4,2006
2,20,164,27.5,m,4,2007
2,21,179,27.5,m,4,2010
2,22,187,27.5,m,4,2010
2,23,165,27.5,f,4,2010
2,24,174,27.5,m,4,2007
2,25,155,28,m,4,2008
2,26,200,27.5,m,4,2009
2,27,173,27.5,f,4,2007
2,28,174,27.5,f,4,2007
2,29,163,28,f,4,2007
2,30,168,28,f,4,2007
2,31,185,28.5,m,4,2007
2,32,173,28,f,4,2007
2,33,175,28.5,f,4,2008
2,34,192,28.5,f,4,2006
2,35,190,28.5,m,4,2007
2,36,188,28.5,f,4,2007
2,37,193,29,f,4,2008
2,38,199,30,m,4,2006
2,39,210,29,f,4,2007
2,40,193,29,f,4,2007
2,41,193,29.5,f,4,2007
2,42,172,29,m,4,2004
2,43,225,29.5,m,4,2008
2,44,228,29.5,f,4,2008
2,45,230,29.5,m,4,2007
2,46,207,29.5,m,4,2002
2,47,246,29.5,f,4,2007
2,48,239,30,f,4,2008
2,49,199,30,f,4,2006
2,50,238,30,m,4,2008
2,51,283,30.5,m,4,2007
2,52,223,30.5,f,4,2002
2,53,242,30.5,m,4,2005
2,54,272,31,m,4,2002
2,55,176,30.5,m,4,2008
2,56,266,31,m,4,2001
2,57,312,32,m,4,2003
2,58,248,32,m,4,2004
2,59,315,31.5,m,4,2006
2,60,315,31.5,m,4,2005
3,1,120,24.5,f,4,2010
3,2,128,25,m,4,2010
3,3,120,25,m,4,2009
3,4,127,25,f,4,2009
3,5,123,25.5,f,4,2009
