haul,fishno,weight,length,sex,mat,age
15,1,4.9,8,m,4,2012
15,2,4.4,8.5,m,4,2012
15,3,4.6,8.5,m,4,2012
15,4,4.6,9,m,4,2012
15,5,4.1,8.5,m,4,2012
15,6,5,9,m,4,2012
15,7,4.9,9,f,4,2012
15,8,4.6,8.5,f,4,2012
15,9,5,9,f,4,2012
15,10,4.5,9,f,4,2012
15,11,4.9,9,m,4,2012
15,12,4.8,9,m,4,2012
15,13,5.3,9.5,f,4,2012
15,14,5.9,10,f,4,2012
15,15,5.9,9.5,f,4,2012
15,16,5.9,9.5,f,4,2012
15,17,6.3,10,f,4,2012
15,18,5.5,9.5,f,4,2012
15,19,7.1,10,f,4,2012
15,20,7.1,10,f,4,2012
15,21,6.7,10,f,4,2011
15,22,9.4,11.5,f,4,2011
22,1,12.2,11.5,f,4,2012
22,2,12.8,12,m,4,2011
22,3,13.8,12,m,4,2011
22,4,14.9,12.5,m,4,2010
22,5,17.2,12.5,f,6,2010
22,6,14.3,12.5,f,4,2011
22,7,15,12,f,4,2011
22,8,17.2,12.5,f,4,2011
22,9,15.3,12.5,m,4,2010
22,10,16.3,13,m,4,2011
22,11,18.8,13,f,4,2010
22,12,18.5,13,f,4,2011
22,13,16.8,13,m,4,2010
22,14,19,13.5,f,4,2011
22,15,20.9,13.5,f,4,2011
22,16,17.7,13,f,4,2010
22,17,19.2,13,f,4,2010
22,18,17.5,13,f,4,2011
22,19,20.3,13.5,f,4,2009
22,20,20,13.5,f,4,2011
22,21,18.1,13.5,f,4,2010
22,22,22.3,14,f,4,2010
22,23,21.9,14,f,4,2010
22,24,22.6,14,f,4,2011
22,25,24.9,14,f,4,2010
22,26,21,14,m,4,2010
22,27,23.5,14,f,4,2010
22,28,25.9,14.5,f,4,2010
22,29,26.3,14.5,f,4,2010
22,30,24.1,14.5,f,4,2010
22,31,26.7,15,f,4,2010
22,32,24.7,14.5,f,4,2010
