Country,Vessel,Cruise,Log,Year,Month,Day,Hour,Min,AcLat,AcLon,Logint,Frequency,Sv_threshold,Process_ID,Interval
NL,PBVO,HERAS2014,2,2014,6,30,18,34,58.35,-2.577,1,38000,-70,,2
NL,PBVO,HERAS2014,3,2014,6,30,18,40,58.35,-2.545,1,38000,-70,,3
NL,PBVO,HERAS2014,4,2014,6,30,18,46,58.35,-2.514,1,38000,-70,,4
NL,PBVO,HERAS2014,5,2014,6,30,18,51,58.35,-2.483,1,38000,-70,,5
NL,PBVO,HERAS2014,6,2014,6,30,18,57,58.35,-2.452,1,38000,-70,,6
NL,PBVO,HERAS2014,7,2014,6,30,19,3,58.349,-2.42,1,38000,-70,,7
NL,PBVO,HERAS2014,8,2014,6,30,19,8,58.349,-2.389,1,38000,-70,,8
NL,PBVO,HERAS2014,9,2014,6,30,19,14,58.35,-2.358,1,38000,-70,,9
NL,PBVO,HERAS2014,10,2014,6,30,19,20,58.35,-2.326,1,38000,-70,,10
NL,PBVO,HERAS2014,11,2014,6,30,19,26,58.35,-2.295,1,38000,-70,,11
NL,PBVO,HERAS2014,12,2014,6,30,19,31,58.35,-2.264,1,38000,-70,,12
NL,PBVO,HERAS2014,13,2014,6,30,19,37,58.35,-2.232,1,38000,-70,,13
NL,PBVO,HERAS2014,14,2014,6,30,19,43,58.35,-2.201,1,38000,-70,,14
NL,PBVO,HERAS2014,15,2014,6,30,19,49,58.35,-2.169,1,38000,-70,,15
NL,PBVO,HERAS2014,16,2014,6,30,19,54,58.349,-2.138,1,38000,-70,,16
NL,PBVO,HERAS2014,17,2014,6,30,20,0,58.349,-2.106,1,38000,-70,,17
NL,PBVO,HERAS2014,18,2014,6,30,20,6,58.348,-2.074,1,38000,-70,,18
NL,PBVO,HERAS2014,19,2014,6,30,20,11,58.348,-2.043,1,38000,-70,,19
NL,PBVO,HERAS2014,20,2014,6,30,20,17,58.349,-2.011,1,38000,-70,,20
NL,PBVO,HERAS2014,21,2014,6,30,20,23,58.349,-1.98,1,38000,-70,,21
NL,PBVO,HERAS2014,22,2014,6,30,20,28,58.35,-1.948,1,38000,-70,,22
NL,PBVO,HERAS2014,23,2014,6,30,20,34,58.35,-1.917,1,38000,-70,,23
NL,PBVO,HERAS2014,24,2014,6,30,20,40,58.35,-1.885,1,38000,-70,,24
NL,PBVO,HERAS2014,25,2014,6,30,20,46,58.35,-1.854,1,38000,-70,,25
NL,PBVO,HERAS2014,26,2014,6,30,20,51,58.349,-1.823,1,38000,-70,,26
NL,PBVO,HERAS2014,27,2014,6,30,20,57,58.35,-1.791,1,38000,-70,,27
NL,PBVO,HERAS2014,28,2014,6,30,21,3,58.35,-1.76,1,38000,-70,,28
NL,PBVO,HERAS2014,29,2014,6,30,21,9,58.35,-1.728,1,38000,-70,,29
NL,PBVO,HERAS2014,30,2014,6,30,21,14,58.35,-1.697,1,38000,-70,,30
NL,PBVO,HERAS2014,31,2014,6,30,21,20,58.35,-1.665,1,38000,-70,,31
NL,PBVO,HERAS2014,32,2014,6,30,21,26,58.349,-1.633,1,38000,-70,,32
