Country,Vessel,Cruise,Log,Year,Month,Day,Species,ChUppDepth,ChLowDepth,SA
NL,PBVO,HERAS2014,2,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,3,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,3,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,4,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,4,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,5,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,5,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,6,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,6,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,7,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,7,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,8,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,8,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,9,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,9,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,10,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,10,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,11,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,11,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,12,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,12,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,13,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,13,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,14,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,14,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,15,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,15,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,16,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,16,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,17,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,17,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,18,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,18,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,19,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,19,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,20,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,20,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,21,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,21,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,22,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,22,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,23,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,23,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,24,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,24,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,25,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,25,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,26,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,26,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,27,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,27,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,27,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,28,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,28,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,28,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,29,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,29,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,29,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,30,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,30,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,30,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,31,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,31,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,31,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,32,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,32,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,32,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,33,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,33,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,33,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,34,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,34,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,34,2014,6,30,HER,100,150,0
NL,PBVO,HERAS2014,35,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,35,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,36,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,36,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,37,2014,6,30,HER,0,50,0
NL,PBVO,HERAS2014,37,2014,6,30,HER,50,100,0
NL,PBVO,HERAS2014,44,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,44,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,45,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,45,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,45,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,46,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,46,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,46,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,47,2014,7,1,HER,0,50,0
