haul,day,month,year,hour,minute,haul_duration,lat,lon,depth,"wind
direction","wind
force",gear
1,1,7,2014,6,36,42,58.22,-0.24,,,,pelagic trawl
2,1,7,2014,12,18,21,58.2,0.45,,,,pelagic trawl
3,1,7,2014,20,37,65,58.08,1.24,,,,pelagic trawl
4,2,7,2014,6,15,41,58.09,-0.03,,,,pelagic trawl
5,2,7,2014,11,24,60,58.08,-1.09,,,,pelagic trawl
6,3,7,2014,6,7,56,57.45,-2.06,,,,pelagic trawl
7,3,7,2014,14,45,36,57.5,0.16,,,,pelagic trawl
8,3,7,2014,18,59,86,57.52,0.49,,338,4,pelagic trawl
9,4,7,2014,9,33,98,57.4,0.39,,338,4,pelagic trawl
10,4,7,2014,14,36,58,57.4,-0.1,,158,9,pelagic trawl
11,7,7,2014,13,20,61,57.18,-0.27,,,2,pelagic trawl
12,7,7,2014,19,3,35,57.16,0.57,,,2,pelagic trawl
13,8,7,2014,9,37,30,56.49,1.08,,90,2,pelagic trawl
14,8,7,2014,14,8,66,56.46,0.14,,90,1,pelagic trawl
15,9,7,2014,16,32,30,56.17,-0.04,,338,12,pelagic trawl
16,10,7,2014,10,5,73,56.16,1.37,,,7,pelagic trawl
17,14,7,2014,18,49,37,55.17,-1.11,,180,2,pelagic trawl
18,15,7,2014,7,52,36,55.17,0.25,,113,4,pelagic trawl
19,15,7,2014,11,16,30,55.16,1.05,,113,2,pelagic trawl
20,16,7,2014,6,55,131,54.47,-0.14,,338,2,pelagic trawl
